,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10
Stock_1,1.0,0.32087986251626244,0.3044876980312562,0.14842696873250696,0.19388516352114454,0.15594194500179281,0.27462704361629264,0.18079381792378899,0.1999141952248792,0.31324754559572937
Stock_2,0.32087986251626244,1.0,0.7585826477430198,0.5138205407191218,0.4982090841521763,0.27513042855983344,0.6503978524056281,0.5489011808433522,0.501024192133629,0.7048622864939634
Stock_3,0.3044876980312562,0.7585826477430198,1.0,0.5104239859298282,0.3957069636282499,0.2681430536697572,0.6049580119354743,0.5163996565015652,0.4373644551383315,0.6375632775109878
Stock_4,0.14842696873250696,0.5138205407191218,0.5104239859298282,1.0,0.2884217663360412,0.1970221093499672,0.4226050770780638,0.40797097505143004,0.3386897448381367,0.4506486496602568
Stock_5,0.19388516352114454,0.4982090841521763,0.3957069636282499,0.2884217663360412,1.0,0.2142271812732543,0.42202228718649076,0.3183355135769344,0.2987157495433622,0.4048111967838513
Stock_6,0.15594194500179281,0.27513042855983344,0.2681430536697572,0.1970221093499672,0.2142271812732543,1.0,0.22275190933743283,0.17037501440343533,0.23767060272012258,0.2502974058515658
Stock_7,0.27462704361629264,0.6503978524056281,0.6049580119354743,0.4226050770780638,0.42202228718649076,0.22275190933743283,1.0,0.44221060433834963,0.40537901701424844,0.5435912227500562
Stock_8,0.18079381792378899,0.5489011808433522,0.5163996565015652,0.40797097505143004,0.3183355135769344,0.17037501440343533,0.44221060433834963,1.0,0.2887454259176441,0.5060670401043406
Stock_9,0.1999141952248792,0.501024192133629,0.4373644551383315,0.3386897448381367,0.2987157495433622,0.23767060272012258,0.40537901701424844,0.2887454259176441,1.0,0.42416846437851735
Stock_10,0.31324754559572937,0.7048622864939634,0.6375632775109878,0.4506486496602568,0.4048111967838513,0.2502974058515658,0.5435912227500562,0.5060670401043406,0.42416846437851735,1.0
