,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10
Stock_1,0.00023333076763104056,8.090476732066364e-05,7.513564931261918e-05,2.7780700146047965e-05,3.9751608194890784e-05,4.487802823459186e-05,4.686077212084585e-05,4.356772166708399e-05,5.164395232609814e-05,4.60272695144647e-05
Stock_2,8.090476732066364e-05,0.00027245280959003007,0.0002022734293960939,0.00010392055826015652,0.00011037771734849371,8.555966705495667e-05,0.00011992366083777561,0.00014293384577060116,0.00013986020983594883,0.00011191581196564606
Stock_3,7.513564931261918e-05,0.0002022734293960939,0.0002609639853742995,0.00010103357642716729,8.580016087222323e-05,8.160967622364423e-05,0.00010916807553361664,0.00013160473084298157,0.00011948781141948612,9.907295411551472e-05
Stock_4,2.7780700146047965e-05,0.00010392055826015652,0.00010103357642716729,0.00015013734365955093,4.7434739195469795e-05,4.548248072154656e-05,5.784411856855103e-05,7.886220190985966e-05,7.018369748369178e-05,5.311582949367946e-05
Stock_5,3.9751608194890784e-05,0.00011037771734849371,8.580016087222323e-05,4.7434739195469795e-05,0.00018015579731723108,5.417307780363622e-05,6.327609092004281e-05,6.740691958080396e-05,6.780661677452346e-05,5.22658680205954e-05
Stock_6,4.487802823459186e-05,8.555966705495667e-05,8.160967622364423e-05,4.548248072154656e-05,5.417307780363622e-05,0.00035495200336962756,4.687986848927963e-05,5.06391013374515e-05,7.572688925305658e-05,4.5361007764431576e-05
Stock_7,4.686077212084585e-05,0.00011992366083777561,0.00010916807553361664,5.784411856855103e-05,6.327609092004281e-05,4.687986848927963e-05,0.00012478439193108184,7.79299782276355e-05,7.658279851287193e-05,5.841092709063002e-05
Stock_8,4.356772166708399e-05,0.00014293384577060116,0.00013160473084298157,7.886220190985966e-05,6.740691958080396e-05,5.06391013374515e-05,7.79299782276355e-05,0.00024888030882500945,7.703715136875762e-05,7.679710547031835e-05
Stock_9,5.164395232609814e-05,0.00013986020983594883,0.00011948781141948612,7.018369748369178e-05,6.780661677452346e-05,7.572688925305658e-05,7.658279851287193e-05,7.703715136875762e-05,0.0002860089787787767,6.900328091724199e-05
Stock_10,4.60272695144647e-05,0.00011191581196564606,9.907295411551472e-05,5.311582949367946e-05,5.22658680205954e-05,4.5361007764431576e-05,5.841092709063002e-05,7.679710547031835e-05,6.900328091724199e-05,9.253010614056595e-05
