,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10
PC1,0.18060321348220112,0.4134090610216208,0.3899730721916672,0.28434078072255853,0.2705327128383445,0.1851692502859127,0.37829224069302964,0.2925964963727459,0.29120565024014,0.3775615064748265
PC2,0.3998052072781968,-0.049998093394856974,-0.11090538647173144,-0.2695162175844864,0.15168044388519764,0.7425436601157398,-0.0206120102182764,-0.39253123099413645,0.13644783636315375,-0.07221711740397752
PC3,0.8122946075281535,0.03746491047988075,-0.032963965837811124,-0.1976060461140045,-0.0004849826894293245,-0.5060885662713469,0.08619470011026142,-0.06376575995157589,-0.15468645560260463,0.08420040631647757
PC4,0.13536327242407575,-0.07135403554773839,0.014147403870146857,0.3937881712838335,-0.5519565777749045,-0.10975372679160832,0.0330010980962451,-0.3093894718754981,0.626278875625191,-0.12481194285573992
PC5,-0.23630481834320255,0.03688384255301634,-0.15759409322449835,-0.2868728781297061,0.5681746349154303,-0.3628915824818986,0.1823560118749575,-0.28236349005135714,0.5016621521552951,-0.12848027738580206
PC6,0.14465258769129105,-0.14771526338097862,-0.17770322656407928,0.7466485655876386,0.4708626425891335,-0.015389788647378347,-0.06037779556075239,-0.17758183541404376,-0.23325043560200198,-0.2380300120955024
PC7,-0.18502681449217273,0.08465692730155655,0.23961548196913854,-0.007808158546478219,-0.16239977574092562,-0.015684640156091494,0.6654031812624515,-0.5137469233899232,-0.4016488397436899,-0.0805168028908531
PC8,-0.11799988431003582,0.17543332274516066,0.192914621970595,0.06304064286448169,0.059899892074762554,-0.1067687837846185,-0.4984869479045659,-0.5317343535110204,-0.0810455561167975,0.6011009816893473
PC9,0.06211967233591727,0.19302258323907512,0.6995438945028291,-0.08495362760976224,0.09018071366908963,-0.04885906992617167,-0.33358458894319754,-0.032663899069415255,0.0024283291480428904,-0.5826091096019366
PC10,-0.024707161007394597,0.8495390164252999,-0.44037098028917065,0.03690146387272383,-0.1285321203959535,0.014484752075532334,-0.09232022938681744,-0.03885746354569422,-0.08038269458652561,-0.2217207221188276
